year,q_no,subject,subtopic,type,marks,answer,skill,confidence,alt_subject,note
2024,1,General Aptitude,verbal,MCQ,1,D,concept,high,,word analogy
2024,2,General Aptitude,spatial,MCQ,1,A,concept,high,,colouring a 15-part figure
2024,3,General Aptitude,quantitative,MCQ,1,B,calculation,high,,permutations; divisibility by 3
2024,4,General Aptitude,quantitative,MCQ,1,B,calculation,high,,infinite series
2024,5,General Aptitude,quantitative,MCQ,1,B,calculation,high,,pie chart
2024,6,General Aptitude,verbal,MCQ,2,D,concept,high,,passage inference
2024,7,General Aptitude,quantitative,MCQ,2,A,calculation,high,,elementary probability
2024,8,General Aptitude,quantitative,MCQ,2,B,calculation,high,,table; percentages
2024,9,General Aptitude,spatial,MCQ,2,A,concept,high,,dice net folding
2024,10,General Aptitude,spatial,MCQ,2,A,concept,high,,3-D cross-section of cones
2024,11,Probability and Statistics,Poisson distribution; normal distribution,MCQ,1,A,concept,high,,
2024,12,Probability and Statistics,sample space and events,MCQ,1,A,calculation,high,,
2024,13,Linear Algebra,eigenvalues and eigenvectors,MCQ,1,B,calculation,high,,
2024,14,"Programming, Data Structures and Algorithms",graph traversals,MCQ,1,A,concept,high,,DFS edge classification
2024,15,Calculus and Optimization,maxima and minima,MCQ,1,A,concept,high,,second-derivative test
2024,16,"Programming, Data Structures and Algorithms",stacks; queues; hash tables,MCQ,1,A,concept,high,,
2024,17,Machine Learning,support vector machine,MCQ,1,D,calculation,high,,
2024,18,Machine Learning,PCA; naive Bayes classifier; logistic regression,MCQ,1,C,concept,high,,generative vs discriminative
2024,19,Machine Learning,k-means/k-medoid,MCQ,1,D,concept,high,,
2024,20,Machine Learning,naive Bayes classifier,MCQ,1,B,concept,high,,parameter count
2024,21,"Programming, Data Structures and Algorithms",hash tables,MCQ,1,B,concept,high,,open addressing probes
2024,22,Machine Learning,linear discriminant analysis,MCQ,1,A,concept,high,Linear Algebra,Fisher LDA as eigenproblem; uses LA
2024,23,AI,informed search,MCQ,1,D,concept,high,,admissible heuristics
2024,24,AI,conditional independence representation,MCQ,1,C,concept,medium,Probability and Statistics,factorised joint (Bayes net)
2024,25,AI,minimax/adversarial search,MCQ,1,C,concept,high,,alpha-beta pruning
2024,26,Database Management and Warehousing,relational algebra,MCQ,1,C,code,high,,
2024,27,Database Management and Warehousing,data transformation,MCQ,1,B,calculation,medium,Probability and Statistics,z-score normalization
2024,28,"Programming, Data Structures and Algorithms",trees,MSQ,1,A;B;C,concept,high,,traversals that rebuild a tree
2024,29,AI,propositional logic,MSQ,1,B;C;D,calculation,high,,tautologies
2024,30,"Programming, Data Structures and Algorithms",quicksort,NAT,1,0 to 0,calculation,high,,swap count depends on partition scheme
2024,31,Database Management and Warehousing,SQL,NAT,1,3 to 3,code,high,,
2024,32,"Programming, Data Structures and Algorithms",queues,NAT,1,17 to 17,code,high,,deque trace
2024,33,Calculus and Optimization,continuity and differentiability,NAT,1,0.24 to 0.24,calculation,medium,Machine Learning,sigmoid derivative
2024,34,Probability and Statistics,mean/median/mode/standard deviation,NAT,1,42 to 42,calculation,high,,
2024,35,Linear Algebra,determinant,NAT,1,0 to 0,calculation,high,,
2024,36,Probability and Statistics,conditional expectation and variance,MCQ,2,C,calculation,high,,expected waiting time
2024,37,Calculus and Optimization,continuity and differentiability,MCQ,2,A,calculation,high,,piecewise function
2024,38,"Programming, Data Structures and Algorithms",programming in Python,MCQ,2,D,code,high,,recursion over a tree
2024,39,"Programming, Data Structures and Algorithms",programming (pseudocode),MCQ,2,C,code,high,,
2024,40,"Programming, Data Structures and Algorithms",binary search,MCQ,2,A,concept,high,,comparison recurrence
2024,41,"Programming, Data Structures and Algorithms",programming in Python,MCQ,2,C,code,high,,recursion
2024,42,Machine Learning,hierarchical clustering,MCQ,2,A,calculation,high,,single linkage
